comparison,n_subjects,mean_delta_subject_auc,median_delta_subject_auc,ci95_low,ci95_high,bootstrap_resamples
logistic_l2_zscore_minus_absolute,36,-0.025226757369614508,-0.002551020408163185,-0.09892998866213151,0.05060232426303852,2000
logistic_l2_zscore_minus_mean_subtraction,36,-0.06377551020408162,-0.0331632653061224,-0.11735048185941042,-0.009066751700680291,2000
linear_svm_zscore_minus_absolute,36,-0.03670634920634919,0.005102040816326536,-0.11240787981859408,0.039686082766439895,2000
linear_svm_zscore_minus_mean_subtraction,36,-0.059948979591836746,-0.02040816326530609,-0.1145195578231293,-0.007079081632653103,2000
