feature,importance
band_abs_Cz_alpha,0.0018165355816781447
stat_F8_rms,0.0018053858128796233
corr_T4_A2A1,0.0018016963196971993
corr_Fp2_Cz,0.0017929223110713624
hjorth_T4_mobility,0.0017808948973041226
corr_C4_O1,0.0017804334009208906
corr_T4_C3,0.0017769950547722802
region_occipital_band_rel_mean_gamma,0.0017607204563015431
stat_O1_ptp,0.001721324181418487
hemisphere_left_band_rel_mean_delta,0.0017210499681340073
band_rel_Fp1_beta,0.001718963056252913
corr_T3_A2A1,0.0017160495958737738
band_rel_P3_alpha,0.0016979248755644642
stat_F8_var,0.0016885875962694443
band_abs_Fp2_theta,0.0016780290420610763
stat_ECGECG_kurtosis,0.001677451427039488
stat_F8_std,0.0016630979138911157
band_abs_A2A1_delta,0.001619094697400033
corr_Fp1_Fp2,0.0016083714677852857
band_abs_F3_beta,0.0016058656511276819
spectral_ECGECG_entropy,0.0015975641883394654
corr_Fp1_T3,0.0015921297474878623
corr_A2A1_ECGECG,0.0015862476545179807
corr_P3_O1,0.0015799196818161124
global_band_abs_mean_theta,0.0015751226124551725
ratio_T5_theta_alpha,0.0015514631899677955
corr_Fp1_F4,0.0015377619888584024
corr_C4_A2A1,0.0015350208693495038
band_abs_Pz_theta,0.001533938922370148
hjorth_Cz_activity,0.0015333638514888137
ratio_O2_theta_beta,0.0015136519381873609
band_rel_ECGECG_theta,0.0015129293574346176
corr_F3_A2A1,0.001512819841137964
global_band_rel_std_delta,0.0015035543371694359
hjorth_O1_mobility,0.001491513923473541
global_band_abs_mean_delta,0.0014856252036833954
band_abs_T5_alpha,0.0014801355608329884
band_abs_O1_theta,0.0014771733891869858
band_abs_T3_alpha,0.0014749656311759108
stat_ECGECG_rms,0.0014645764721639568
stat_P4_var,0.0014514547542811727
stat_T3_rms,0.001449421321234656
band_rel_Fp1_gamma,0.0014329689989382919
corr_Fp2_C3,0.001415316496981392
corr_Fp2_Pz,0.0014134092861515448
stat_C4_rms,0.001407393823939194
corr_O2_Pz,0.0014044548909557457
band_abs_O1_gamma,0.0014036379511490101
hemisphere_midline_band_rel_mean_alpha,0.0013960372288786787
band_abs_F7_beta,0.0013915453257398245
corr_Fp1_T4,0.0013858357088009704
corr_Fp2_T4,0.0013732355318759467
hjorth_P4_complexity,0.0013681814005239387
band_abs_O1_beta,0.0013484496847947752
stat_F7_std,0.001341298007928062
corr_T4_P4,0.001339959220705296
band_abs_O2_gamma,0.0013386929880075172
ratio_Pz_theta_alpha,0.0013297711214933458
corr_T5_Cz,0.0013217666738670473
stat_C4_ptp,0.0013188424379770504
corr_F7_F8,0.0013183311099343555
hjorth_F3_complexity,0.001311348000984195
corr_F4_A2A1,0.0013089733343449644
corr_Fp2_F7,0.001300333773261495
band_rel_F7_delta,0.0012980660196673047
ratio_T6_theta_beta,0.0012913865279125135
corr_T3_C3,0.001288329647139905
corr_Fp2_F4,0.0012673647815130017
band_rel_Fp2_gamma,0.0012663699570119296
band_rel_A2A1_beta,0.001266158661537876
hjorth_F4_complexity,0.0012654358673114667
region_parietal_band_rel_mean_alpha,0.001265370243775354
hjorth_P3_activity,0.0012526987568760221
ratio_Fp1_theta_beta,0.0012484945761650412
corr_Fp1_F8,0.0012478232664433373
stat_Pz_rms,0.0012454944873669398
corr_C4_T5,0.0012390818688622592
stat_T3_var,0.0012370926396874855
stat_Pz_var,0.0012356692109282762
band_rel_Fp2_delta,0.0012354166332346414
region_occipital_band_rel_mean_alpha,0.0012350194213216186
corr_Fp2_F3,0.0012262842631291103
