dataset,model,comparison,n_subjects,mean_delta_subject_auc,median_delta_subject_auc,ci95_low,ci95_high,bootstrap_resamples
MAT,logistic_l2,zscore_minus_absolute,36,0.08234763864393492,0.06583333333333341,0.02651239466980208,0.13973469650205747,2000
MAT,logistic_l2,zscore_minus_mean_subtraction,36,0.03057245737801291,0.021666666666666556,-0.014999099794238724,0.08539884626690175,2000
MAT,linear_svm,zscore_minus_absolute,36,0.07678301979227907,0.057499999999999996,0.019094160297864014,0.13851431143445034,2000
MAT,linear_svm,zscore_minus_mean_subtraction,36,0.025660395845581035,0.010833333333333306,-0.0230702895355673,0.08140251445228279,2000
STEW,logistic_l2,zscore_minus_absolute,48,0.06935445523076678,0.04305539537923342,0.011807756731032881,0.1380270286629136,2000
STEW,logistic_l2,zscore_minus_mean_subtraction,48,0.06480684469949653,0.048505238722629906,0.012020097176846165,0.12294242749288761,2000
STEW,linear_svm,zscore_minus_absolute,48,0.07578373882993861,0.05505050505050507,0.021712219442338573,0.1397709267010978,2000
STEW,linear_svm,zscore_minus_mean_subtraction,48,0.059061020188870016,0.0618055555555555,0.005380025455574303,0.11752093687679377,2000
