subject_id,spearman_rho,p_two_sided,p_one_sided_positive,n_levels
sub-001,0.03571428571428572,0.9394082054712856,0.4697041027356428,7
sub-003,-0.25,0.5887244480896834,0.7056377759551583,7
sub-004,0.10714285714285716,0.8191508555699912,0.4095754277849956,7
sub-005,0.21428571428571433,0.6445115810207203,0.32225579051036013,7
sub-006,-0.14285714285714288,0.7599453002180928,0.6200273498909536,7
sub-007,0.0,1.0,0.5,7
sub-008,-0.03571428571428572,0.9394082054712856,0.5302958972643572,7
sub-009,0.10714285714285716,0.8191508555699912,0.4095754277849956,7
sub-010,-0.5,0.25316999510032256,0.8734150024498387,7
sub-011,-0.42857142857142866,0.3373683110858241,0.831315844457088,7
sub-012,0.10714285714285716,0.8191508555699912,0.4095754277849956,7
sub-013,0.3571428571428572,0.43161135203832796,0.21580567601916398,7
sub-014,0.03571428571428572,0.9394082054712856,0.4697041027356428,7
sub-015,-0.1785714285714286,0.7016579425162728,0.6491710287418636,7
sub-016,-0.25,0.5887244480896834,0.7056377759551583,7
sub-018,-0.3571428571428572,0.43161135203832796,0.784194323980836,7
sub-019,0.0,1.0,0.5,7
sub-020,0.10714285714285716,0.8191508555699912,0.4095754277849956,7
