subject_id,workload_level,mean_score,n_trials
sub-001,1.0,3.7698194821925504,9
sub-001,2.0,2.912676790861213,9
sub-001,3.0,2.485492863182645,9
sub-001,4.0,3.6007811244771335,9
sub-001,5.0,2.3547594756183807,9
sub-001,6.0,4.0449269595889,9
sub-001,7.0,3.4174949716569594,9
sub-003,1.0,3.1515520055482655,9
sub-003,2.0,2.2748918855737177,9
sub-003,3.0,4.31370504420628,9
sub-003,4.0,4.618858931812236,9
sub-003,5.0,0.8715459744465961,9
sub-003,6.0,3.1374822086563423,9
sub-003,7.0,3.09129936036395,9
sub-004,1.0,17.213706326478544,9
sub-004,2.0,17.296276045103234,9
sub-004,3.0,7.418012394459672,9
sub-004,4.0,9.436131565727788,9
sub-004,5.0,8.78359332965686,9
sub-004,6.0,11.563387956080849,9
sub-004,7.0,18.26852396615176,9
sub-005,1.0,-0.543514649725277,9
sub-005,2.0,1.868285214394677,9
sub-005,3.0,1.2693493569188037,9
sub-005,4.0,2.961861327351591,9
sub-005,5.0,6.877859671718754,9
sub-005,6.0,7.254836850718966,9
sub-005,7.0,-0.8937485426010748,9
sub-006,1.0,-1.1647722359430297,9
sub-006,2.0,-1.1351335095885164,9
sub-006,3.0,-3.6764642825917133,9
sub-006,4.0,-2.958131946811179,9
sub-006,5.0,-0.6641361883064648,9
sub-006,6.0,-1.5355065366584166,9
sub-006,7.0,-1.9437727447434336,9
sub-007,1.0,-0.58607026312241,9
sub-007,2.0,-0.611668556075635,9
sub-007,3.0,1.6677132283079996,9
sub-007,4.0,3.5347178952853864,9
sub-007,5.0,0.17207132435390163,9
sub-007,6.0,-1.4351139673505175,9
sub-007,7.0,-0.0994463740491543,9
sub-008,1.0,-6.557028621379254,9
sub-008,2.0,-6.428044088239279,9
sub-008,3.0,-4.744394747456926,9
sub-008,4.0,-6.2175944736571624,9
sub-008,5.0,-6.514203256710811,9
sub-008,6.0,-7.442895260763799,9
sub-008,7.0,-6.386949224413167,9
sub-009,1.0,-5.347404709130981,9
sub-009,2.0,-8.187118528708607,9
sub-009,3.0,-2.978676967277958,9
sub-009,4.0,-7.142824213772332,9
sub-009,5.0,-6.585082172671061,9
sub-009,6.0,-4.925424979480097,9
sub-009,7.0,-5.397445153121459,9
sub-010,1.0,-5.475283851424926,9
sub-010,2.0,-3.776851665165656,9
sub-010,3.0,-12.437657842418327,9
sub-010,4.0,-12.562449199742323,9
sub-010,5.0,-14.075705195532,9
sub-010,6.0,-5.195978716287601,9
sub-010,7.0,-13.370369373118441,9
sub-011,1.0,-1.0004332304375985,9
sub-011,2.0,-1.8807186855596736,9
sub-011,3.0,-0.9030515193664392,9
sub-011,4.0,-1.1892446114017103,9
sub-011,5.0,-0.40217474351864574,9
sub-011,6.0,-2.617718566156493,9
sub-011,7.0,-2.2284525245502182,9
sub-012,1.0,-5.283277885035143,9
sub-012,2.0,-3.487477845313581,9
sub-012,3.0,-6.692857261180448,9
sub-012,4.0,-5.5876632875721866,9
sub-012,5.0,-6.2660721569865405,9
sub-012,6.0,-5.132444431042403,9
sub-012,7.0,-4.419770603024343,9
sub-013,1.0,-0.6010765879325919,9
sub-013,2.0,2.1811587911501857,9
sub-013,3.0,-0.32147467426358856,9
sub-013,4.0,0.016129283263496743,9
sub-013,5.0,-0.3317049038010632,9
sub-013,6.0,0.7882224940270008,9
sub-013,7.0,1.229897762365754,9
sub-014,1.0,-10.696425268298398,9
sub-014,2.0,-15.070209369967934,9
sub-014,3.0,-19.159048239752757,9
sub-014,4.0,-13.267960577650449,9
sub-014,5.0,-16.58591869427174,9
sub-014,6.0,-17.94614123797605,9
sub-014,7.0,-9.704399742291157,9
sub-015,1.0,4.325825972301105,9
sub-015,2.0,4.99650303085099,9
sub-015,3.0,10.078084102759496,9
sub-015,4.0,5.679860403053009,9
sub-015,5.0,5.241115407660089,9
sub-015,6.0,4.063252672266658,9
sub-015,7.0,4.869692458742832,9
sub-016,1.0,-9.688687304683077,9
sub-016,2.0,-13.993341158312811,9
sub-016,3.0,-12.777246668751161,9
sub-016,4.0,-11.242736238851775,9
sub-016,5.0,-14.237956558506827,9
sub-016,6.0,-13.972292817954893,9
sub-016,7.0,-11.413220884333398,9
sub-018,1.0,-1.5988956027185592,9
sub-018,2.0,-2.16805443985677,9
sub-018,3.0,-4.024303285177274,9
sub-018,4.0,-2.2707577154208867,9
sub-018,5.0,-3.4908298842441567,9
sub-018,6.0,-4.744112443041125,9
sub-018,7.0,-2.0254563115939104,9
sub-019,1.0,-9.60641559977751,9
sub-019,2.0,-9.554619484842284,9
sub-019,3.0,-10.448220330341558,9
sub-019,4.0,-7.763172187844502,9
sub-019,5.0,-8.877458278938295,9
sub-019,6.0,-9.502570759061681,9
sub-019,7.0,-10.90495743351628,9
sub-020,1.0,-4.84769330752934,9
sub-020,2.0,-11.280479354365191,9
sub-020,3.0,-7.217218342961762,9
sub-020,4.0,-7.453075588033938,9
sub-020,5.0,-7.529780221057802,9
sub-020,6.0,-7.168359557823767,9
sub-020,7.0,-6.010520004573483,9
