workload_level,difficulty_range,mean_score,median_score,sd_score,n_trials,n_subjects
1.0,0.6-1.5,-1.9186708517009792,-2.054707651988238,6.8817480376669415,162,18
2.0,1.5-2.4,-2.5579958293367735,-2.170730413361785,8.488010920904937,162,18
3.0,2.4-3.3,-3.2304587317613898,-2.5955099479227397,8.148158375124176,162,18
4.0,3.3-4.2,-2.6559594172104335,-3.0893508958535625,7.5718894694247405,162,18
5.0,4.2-5.1,-3.4033376150606016,-2.7385254613935075,8.208478327110074,162,18
6.0,5.1-6.0,-2.820358340681007,-2.6295056372357495,8.283117370589396,162,18
7.0,6.0-6.9,-2.4400889109249033,-2.3524122351527765,8.08396021941157,162,18
