model,roc_auc,roc_auc_ci_low,roc_auc_ci_high,f1,f1_ci_low,f1_ci_high,n_subjects
LogisticRegression,0.49862510470474797,0.4841363388371382,0.5134996925139307,0.5116386264116156,0.4946234491315136,0.5288630329074202,36
SNWA_K8,0.49862510470474797,0.4841363388371382,0.5134996925139307,0.5116386264116156,0.4946234491315136,0.5288630329074202,36
