dataset,model,calibration,feature_set,n_features,window_auc,subject_auc_mean,subject_auc_sd,n_predictions
MAT,logistic_l2,zscore,all_200,200,0.8659953044212303,0.8743547912992358,0.1227310631556038,3186
MAT,logistic_l2,zscore,no_gamma_184,184,0.8731987091554992,0.8793148638056045,0.10284843882186975,3186
STEW,linear_svm,zscore,all_200,200,0.7918962602338724,0.81058462491574,0.18570417948683912,1519
STEW,linear_svm,zscore,no_gamma_184,184,0.7941954571781907,0.8149465389154802,0.17908739584280212,1519
