feature,importance
ratio_ECGECG_theta_alpha,0.00040646026335661644
corr_Fp2_T5,0.000401873914742244
band_abs_Fp2_beta,0.0004014119866174249
band_rel_F7_alpha,0.00038725390135064283
corr_Fp1_T6,0.00038118865536032517
band_abs_O2_beta,0.00036864742079525573
stat_T3_std,0.00036575868647743495
stat_Pz_std,0.00036290884124942353
stat_T4_skew,0.0003563147384783462
band_abs_P4_beta,0.0003332551510469832
global_band_rel_mean_gamma,0.00032303043947407175
stat_F7_ptp,0.0003124812170391503
stat_T6_var,0.00030738481422351333
stat_Fp1_ptp,0.0003028260803308048
band_abs_T5_gamma,0.00028081634093032653
corr_T6_O1,0.00027853382688941195
band_rel_Fz_gamma,0.00027674985999867044
stat_F7_rms,0.0002762733357364757
band_rel_F8_alpha,0.00027138961032411967
stat_F8_shannon_entropy,0.0002593407197444731
region_occipital_band_rel_mean_theta,0.000254120552253507
corr_Fp1_T4,0.0002539838358788978
global_band_abs_std_beta,0.0002538627257148755
ratio_O2_theta_alpha,0.0002297213631875446
global_band_abs_std_theta,0.0002286172171126384
band_abs_O2_gamma,0.00022613743677292393
stat_ECGECG_ptp,0.0002212782057253717
corr_C4_P4,0.00021595616573118879
band_rel_T3_beta,0.0002114644146287757
hemisphere_midline_band_rel_mean_theta,0.00020916981618466612
band_abs_F8_theta,0.00020773507101996206
stat_F8_rms,0.00020150283687959532
stat_Fp2_kurtosis,0.0001998189249050096
corr_F4_T3,0.0001959319466468341
spectral_Fp2_entropy,0.00019184682605380426
band_abs_T3_theta,0.00018368099097402338
stat_O1_skew,0.0001791848425140594
stat_P4_shannon_entropy,0.00017747553204329678
band_rel_O1_beta,0.00016914125429531594
ratio_F8_theta_alpha,0.0001672789583190553
stat_Fp1_shannon_entropy,0.000166395964166636
corr_Fp1_Fp2,0.00016427062541119532
hjorth_T5_complexity,0.0001604226656497142
corr_P3_A2A1,0.00015731510525926858
band_abs_ECGECG_theta,0.00013925387635484204
band_rel_Fp2_delta,0.0001381020948488952
corr_F3_T5,0.00013536424986471417
stat_Fp1_kurtosis,0.00013370792382598208
corr_C4_A2A1,0.00013178180262784386
band_rel_T5_alpha,0.00013164538704604162
stat_Fp2_var,0.00013132958854628757
band_rel_P3_theta,0.00012070574085514895
corr_O1_O2,0.0001123471639726303
corr_T6_A2A1,0.00010533474677298056
corr_F8_C4,9.987991496985792e-05
global_band_abs_mean_beta,9.71452449627711e-05
stat_T5_skew,9.2736462750506e-05
band_rel_A2A1_theta,8.895815443115303e-05
corr_F7_O1,8.54491563992501e-05
corr_F7_T3,8.131426809542952e-05
ratio_T5_beta_alpha,7.650186666995441e-05
stat_Fz_std,7.501670703328293e-05
stat_O2_ptp,7.222435744068701e-05
band_abs_T5_theta,6.343086842211439e-05
hjorth_T4_complexity,6.281606187311072e-05
corr_P3_O2,6.0637682157880315e-05
stat_Cz_kurtosis,5.722765187287762e-05
band_rel_Fp1_delta,5.478120686082038e-05
ratio_O1_beta_alpha,5.2242405552074825e-05
corr_T5_Fz,5.114916626820343e-05
hjorth_Fz_complexity,4.928479599637783e-05
band_rel_C3_theta,4.61006373345631e-05
