comparison,n_subjects,mean_delta,median_delta,ci95_low,ci95_high,ci_excludes_zero_positive
zscore_minus_mean_subtraction,29,0.043807,0.010204,-0.076359,0.175233,no
zscore_minus_absolute,29,0.068086,0.091837,-0.060173,0.190715,no
