Specification,d,p,Channel,raw_d,sig,p_str
Theta/Alpha F3,0.4858229015399111,0.006166450508744284,F3,0.5025945612441842,True,p=0.0062
Theta/Alpha F4,0.5896389117966642,0.001160326697434382,F4,0.5190942067022669,True,p=0.0012
Theta/Beta F3,0.43707638987160574,0.012839172957397397,F3,0.39373948040181134,True,p=0.0128
Theta/Beta F4,0.41806571294306993,0.016913416035951923,F4,0.3569684970162722,True,p=0.0169
Alpha F3 (rel),0.7479122636128224,7.46252740231634e-05,F3,-0.6275926126402291,True,p<0.001
Alpha F4 (rel),0.8330418557204885,1.6127790693261584e-05,F4,-0.6529146806814293,True,p<0.001
