model,metric,point_estimate,ci_low,ci_high
best_model,roc_auc,0.795994774592546,0.7468613869877757,0.8572022407814881
best_model,f1,0.5188639253921153,0.4634942028296721,0.5894193585508782
best_model,accuracy,0.7339428035630567,0.6819404439483666,0.7903707082995404
best_model,sensitivity,0.5666666666666667,0.46479166666666666,0.662986111111111
best_model,specificity,0.790646578782172,0.7015004105749426,0.8731969035237214
