model,accuracy,sensitivity_recall,specificity,f1,roc_auc,pr_auc_average_precision,evaluation
svm_rbf,0.7339428035630567,0.5666666666666667,0.790646578782172,0.5188639253921153,0.795994774592546,0.5448079011697733,leave_one_subject_out_primary
logistic_regression,0.9681349578256795,0.9481481481481482,0.9749058971141782,0.9377289377289377,0.9899158882847715,0.9774850328458159,random_window_split_warning
