model,n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece
best_model,4266,612,667,468,2519,0.7339428035630567,0.5666666666666667,0.790646578782172,0.5188639253921153,0.795994774592546,0.5448079011697733,0.20462991969263897,0.18124893096041414
SNWA,4266,715,728,365,2458,0.7437880918893577,0.6620370370370371,0.7715003138731952,0.5667855727308759,0.7606185045685988,0.5966369392027476,0.18437790755264621,0.18648417042052967
