model,subject_id,n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece
best_model,Subject00,120,24,1,6,89,0.9416666666666667,0.8,0.9888888888888889,0.8727272727272727,0.9914814814814815,0.9735328337587263,0.03917254385092706,0.04559386748153162
best_model,Subject01,120,9,3,21,87,0.8,0.3,0.9666666666666667,0.42857142857142855,0.8742592592592593,0.6990490097075563,0.157335418372648,0.15065776624871888
best_model,Subject02,120,30,66,0,24,0.45,1.0,0.26666666666666666,0.47619047619047616,0.8914814814814814,0.8002539922316912,0.37112386593732133,0.4699806146403911
best_model,Subject03,120,10,0,20,90,0.8333333333333334,0.3333333333333333,1.0,0.5,0.9844444444444445,0.9496729396956791,0.13997172640266006,0.1623077855526979
best_model,Subject04,114,2,0,28,84,0.7543859649122807,0.06666666666666667,1.0,0.125,0.8313492063492064,0.7450066981723922,0.19830727309527055,0.21308609544910817
best_model,Subject05,120,28,37,2,53,0.675,0.9333333333333333,0.5888888888888889,0.5894736842105263,0.8748148148148148,0.6911035143664381,0.2517583544906585,0.30301090384568335
best_model,Subject06,120,5,1,25,89,0.7833333333333333,0.16666666666666666,0.9888888888888889,0.2777777777777778,0.9559259259259258,0.8365544014636163,0.1451140356166055,0.16126926513271544
best_model,Subject07,120,25,29,5,61,0.7166666666666667,0.8333333333333334,0.6777777777777778,0.5952380952380952,0.8155555555555556,0.5628568609943674,0.23323745449356934,0.2158357836951117
best_model,Subject08,120,26,40,4,50,0.6333333333333333,0.8666666666666667,0.5555555555555556,0.5416666666666666,0.8062962962962963,0.5193533468703637,0.26319592092146277,0.30838484567436875
best_model,Subject09,120,8,4,22,86,0.7833333333333333,0.26666666666666666,0.9555555555555556,0.38095238095238093,0.837037037037037,0.617066991094929,0.15657732840873537,0.14320967666105897
best_model,Subject10,123,5,0,25,93,0.7967479674796748,0.16666666666666666,1.0,0.2857142857142857,0.7795698924731184,0.6794355552977248,0.16470546388378254,0.17709843902084418
best_model,Subject11,120,30,59,0,31,0.5083333333333333,1.0,0.34444444444444444,0.5042016806722689,0.7537037037037037,0.43193218102733627,0.45344760534593326,0.4975817180538613
best_model,Subject12,120,20,34,10,56,0.6333333333333333,0.6666666666666666,0.6222222222222222,0.47619047619047616,0.6974074074074074,0.39704182502203317,0.28725052650177585,0.26804114790105654
best_model,Subject13,120,30,71,0,19,0.4083333333333333,1.0,0.2111111111111111,0.4580152671755725,0.9244444444444445,0.8518893998739313,0.4389696753095331,0.5292378768268567
best_model,Subject14,120,22,41,8,49,0.5916666666666667,0.7333333333333333,0.5444444444444444,0.4731182795698925,0.7788888888888889,0.6883680401848071,0.3223937211998763,0.3553654287370902
best_model,Subject15,120,8,0,22,90,0.8166666666666667,0.26666666666666666,1.0,0.42105263157894735,0.9466666666666667,0.8759470115259784,0.16569389255653005,0.18204386726880487
best_model,Subject16,120,21,47,9,43,0.5333333333333333,0.7,0.4777777777777778,0.42857142857142855,0.6203703703703703,0.3377995730560894,0.3881976132447767,0.4081300991406159
best_model,Subject17,120,16,9,14,81,0.8083333333333333,0.5333333333333333,0.9,0.5818181818181818,0.855925925925926,0.6728412533498305,0.14165307460932178,0.11420479366914449
best_model,Subject18,120,17,0,13,90,0.8916666666666667,0.5666666666666667,1.0,0.723404255319149,0.9929629629629629,0.9794896126546108,0.07925501212320377,0.11334689208077062
best_model,Subject19,120,27,2,3,88,0.9583333333333334,0.9,0.9777777777777777,0.9152542372881356,0.9937037037037038,0.9802172291241629,0.02662704436123885,0.04173592528900634
best_model,Subject20,120,17,6,13,84,0.8416666666666667,0.5666666666666667,0.9333333333333333,0.6415094339622641,0.9088888888888889,0.8188233762158397,0.09790420408947638,0.07947404725035187
best_model,Subject21,120,4,7,26,83,0.725,0.13333333333333333,0.9222222222222223,0.1951219512195122,0.8592592592592593,0.5310505559346392,0.19667192672039235,0.19921605785088936
best_model,Subject22,120,30,0,0,90,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0017618801374808797,0.012866079942706674
best_model,Subject23,120,23,3,7,87,0.9166666666666666,0.7666666666666667,0.9666666666666667,0.8214285714285714,0.9577777777777777,0.9296877548381179,0.05658694931069856,0.043038333539511926
best_model,Subject24,120,7,1,23,89,0.8,0.23333333333333334,0.9888888888888889,0.3684210526315789,0.9566666666666668,0.8610832774924169,0.14518364633650327,0.15822546567900533
best_model,Subject25,120,25,53,5,37,0.5166666666666667,0.8333333333333334,0.4111111111111111,0.46296296296296297,0.8392592592592593,0.7774960996363567,0.38999146162697235,0.44163557563891825
best_model,Subject26,120,24,1,6,89,0.9416666666666667,0.8,0.9888888888888889,0.8727272727272727,0.9748148148148149,0.9499777578283259,0.04542217796626908,0.04579612984286179
best_model,Subject27,120,26,55,4,35,0.5083333333333333,0.8666666666666667,0.3888888888888889,0.46846846846846846,0.71,0.4954362720109674,0.3842291620474537,0.40431965595124264
best_model,Subject28,120,30,1,0,89,0.9916666666666667,1.0,0.9888888888888889,0.9836065573770492,1.0,0.9999999999999999,0.005113555403046821,0.02072267922116553
best_model,Subject29,120,0,0,30,90,0.75,0.0,1.0,0.0,0.9870370370370369,0.9337092741781654,0.22774536279083754,0.23666145857823925
best_model,Subject30,120,8,0,22,90,0.8166666666666667,0.26666666666666666,1.0,0.42105263157894735,0.9562962962962962,0.9183544584279909,0.1356610267053345,0.1624541949958483
best_model,Subject31,69,7,5,23,34,0.5942028985507246,0.23333333333333334,0.8717948717948718,0.3333333333333333,0.6025641025641025,0.5654277546363937,0.3412624778681948,0.3364830289146447
best_model,Subject32,120,13,23,17,67,0.6666666666666666,0.43333333333333335,0.7444444444444445,0.3939393939393939,0.6814814814814815,0.35046576262765133,0.2361919780703356,0.1960572881539158
best_model,Subject33,120,18,9,12,81,0.825,0.6,0.9,0.631578947368421,0.8618518518518519,0.664035984640805,0.12489509556480799,0.08166331094550418
best_model,Subject34,120,7,6,23,84,0.7583333333333333,0.23333333333333334,0.9333333333333333,0.32558139534883723,0.8785185185185186,0.5758626833602868,0.18551562228857188,0.20138488194994222
best_model,Subject35,120,10,53,20,37,0.39166666666666666,0.3333333333333333,0.4111111111111111,0.21505376344086022,0.35296296296296303,0.20010002168373842,0.42730384757276135,0.4754111945700343
SNWA,Subject00,120,19,18,11,72,0.7583333333333333,0.6333333333333333,0.8,0.5671641791044776,0.7996296296296297,0.6919733994860803,0.1682102496978784,0.1855785368719466
SNWA,Subject01,120,6,23,24,67,0.6083333333333333,0.2,0.7444444444444445,0.2033898305084746,0.3537037037037037,0.21373807716489066,0.27568666962893684,0.2615815011696964
SNWA,Subject02,120,29,23,1,67,0.8,0.9666666666666667,0.7444444444444445,0.7073170731707317,0.8959259259259259,0.7191399316580392,0.15290562439471608,0.20935138646721563
SNWA,Subject03,120,29,20,1,70,0.825,0.9666666666666667,0.7777777777777778,0.7341772151898734,0.9644444444444444,0.884728943338507,0.1303712948064621,0.23875241341285042
SNWA,Subject04,114,9,19,21,65,0.6491228070175439,0.3,0.7738095238095238,0.3103448275862069,0.5952380952380952,0.30190563646824997,0.2198929098469014,0.13760379219779229
SNWA,Subject05,120,10,29,20,61,0.5916666666666667,0.3333333333333333,0.6777777777777778,0.2898550724637681,0.53,0.3628122203799238,0.2656990551816845,0.2310049568342822
SNWA,Subject06,120,29,18,1,72,0.8416666666666667,0.9666666666666667,0.8,0.7532467532467533,0.9874074074074074,0.9759083926825862,0.13404704105994197,0.27404184498248496
SNWA,Subject07,120,13,27,17,63,0.6333333333333333,0.43333333333333335,0.7,0.37142857142857144,0.6848148148148148,0.39280700124626405,0.20024617013889623,0.1417144649205768
SNWA,Subject08,120,24,19,6,71,0.7916666666666666,0.8,0.7888888888888889,0.6575342465753424,0.8607407407407408,0.5945979257205449,0.16653252461878362,0.18164932952744886
SNWA,Subject09,120,29,21,1,69,0.8166666666666667,0.9666666666666667,0.7666666666666667,0.725,0.9162962962962963,0.6992181599702665,0.15865897188712524,0.23267394036802852
SNWA,Subject10,123,6,18,24,75,0.6585365853658537,0.2,0.8064516129032258,0.2222222222222222,0.44408602150537635,0.27116270502878137,0.23162928063408617,0.23442669680697806
SNWA,Subject11,120,18,14,12,76,0.7833333333333333,0.6,0.8444444444444444,0.5806451612903226,0.8200000000000001,0.4857449273880176,0.17310179615423657,0.15656613754031853
SNWA,Subject12,120,0,30,30,60,0.5,0.0,0.6666666666666666,0.0,0.0885185185185185,0.14721024920119144,0.34767677210734244,0.44670210089697526
SNWA,Subject13,120,0,21,30,69,0.575,0.0,0.7666666666666667,0.0,0.08074074074074072,0.1475765118130803,0.31707370071691277,0.38054108749463467
SNWA,Subject14,120,5,13,25,77,0.6833333333333333,0.16666666666666666,0.8555555555555555,0.20833333333333334,0.49000000000000005,0.2812272961480178,0.22539220558265877,0.14705318415321664
SNWA,Subject15,120,24,26,6,64,0.7333333333333333,0.8,0.7111111111111111,0.6,0.8918518518518519,0.7621440722348163,0.1593774718058262,0.217261666028197
SNWA,Subject16,120,29,19,1,71,0.8333333333333334,0.9666666666666667,0.7888888888888889,0.7435897435897436,0.9866666666666666,0.9717880622034389,0.12440146296951553,0.26845060475890664
SNWA,Subject17,120,11,14,19,76,0.725,0.36666666666666664,0.8444444444444444,0.4,0.6859259259259259,0.41316310528940536,0.1888573407254641,0.11244702358252884
SNWA,Subject18,120,20,25,10,65,0.7083333333333334,0.6666666666666666,0.7222222222222222,0.5333333333333333,0.7277777777777779,0.5357255656092538,0.1987484007930265,0.21600714660978143
SNWA,Subject19,120,30,20,0,70,0.8333333333333334,1.0,0.7777777777777778,0.75,0.9540740740740741,0.7389529742881584,0.15340235707911926,0.27320456289417
SNWA,Subject20,120,24,22,6,68,0.7666666666666667,0.8,0.7555555555555555,0.631578947368421,0.8662962962962963,0.7163798790290907,0.15863941913650337,0.18303316227081784
