n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,subject_id,feature_set,model
120,27,10,3,80,0.8916666666666667,0.9,0.8888888888888888,0.8059701492537313,0.9592592592592593,0.9415604621278381,0.0785002829142091,0.09877351166214426,Subject23,full_812_feature_table,logistic_regression
120,9,0,21,90,0.825,0.3,1.0,0.46153846153846156,0.9325925925925926,0.8423790731585814,0.15567289167185253,0.17352191149532847,Subject24,full_812_feature_table,logistic_regression
120,30,41,0,49,0.6583333333333333,1.0,0.5444444444444444,0.594059405940594,0.9218518518518518,0.7548547393314383,0.2966418668173124,0.34429103967958874,Subject25,full_812_feature_table,logistic_regression
120,25,3,5,87,0.9333333333333333,0.8333333333333334,0.9666666666666667,0.8620689655172413,0.9314814814814815,0.9078846851966892,0.0625070062159902,0.06502458934373728,Subject26,full_812_feature_table,logistic_regression
120,28,28,2,62,0.75,0.9333333333333333,0.6888888888888889,0.6511627906976745,0.9022222222222223,0.800918165790686,0.20131304008151718,0.22169073675134182,Subject27,full_812_feature_table,logistic_regression
120,30,1,0,89,0.9916666666666667,1.0,0.9888888888888889,0.9836065573770492,1.0,0.9999999999999999,0.008242422577685132,0.010816216326403321,Subject28,full_812_feature_table,logistic_regression
120,0,0,30,90,0.75,0.0,1.0,0.0,0.9407407407407408,0.7892696881475565,0.24999760882766087,0.24999844810668967,Subject29,full_812_feature_table,logistic_regression
120,2,0,28,90,0.7666666666666667,0.06666666666666667,1.0,0.125,0.8911111111111111,0.7539142935112254,0.23211433450547686,0.2333952881372008,Subject30,full_812_feature_table,logistic_regression
69,9,10,21,29,0.5507246376811594,0.3,0.7435897435897436,0.3673469387755102,0.3888888888888889,0.44630633935852115,0.4324105286601721,0.4433371116881855,Subject31,full_812_feature_table,logistic_regression
120,3,4,27,86,0.7416666666666667,0.1,0.9555555555555556,0.16216216216216217,0.7533333333333333,0.44464357242810915,0.2321456025585735,0.2326940565488016,Subject32,full_812_feature_table,logistic_regression
120,20,34,10,56,0.6333333333333333,0.6666666666666666,0.6222222222222222,0.47619047619047616,0.6818518518518518,0.36028764838991634,0.29875330475942113,0.2893388179777564,Subject33,full_812_feature_table,logistic_regression
120,4,3,26,87,0.7583333333333333,0.13333333333333333,0.9666666666666667,0.21621621621621623,0.82,0.49692888886935,0.22577546540851218,0.22437615214026765,Subject34,full_812_feature_table,logistic_regression
