n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,K,model
4266,715,728,365,2458,0.7437880918893577,0.6620370370370371,0.7715003138731952,0.5667855727308759,0.7606185045685988,0.5966369392027476,0.18437790755264621,0.18648417042052967,8,SNWA
4266,671,692,409,2494,0.7419127988748242,0.6212962962962963,0.7827997489014438,0.5493246009005321,0.7381661086698752,0.5739514358821304,0.18767820524248915,0.18231335412521119,12,SNWA
4266,645,666,435,2520,0.7419127988748242,0.5972222222222222,0.7909604519774012,0.5395232120451694,0.7255931622143172,0.5629379243944133,0.18749777753878075,0.1792143259627941,20,SNWA
4266,643,736,437,2450,0.7250351617440225,0.5953703703703703,0.7689893283113622,0.5229768198454656,0.7226901257817767,0.5446430772542278,0.19422584575497623,0.18553093515294317,5,SNWA
4266,609,774,471,2412,0.7081575246132208,0.5638888888888889,0.7570621468926554,0.4945188794153471,0.6882454488386691,0.5095711272018044,0.20404662169726145,0.19303160441345332,3,SNWA
