model,brier_score,brier_climatology,brier_skill_score
SVM_RBF,0.20462991969263897,0.18907226406024674,-0.08228417695064394
LogisticRegression,0.24902705260581473,0.18907226406024674,-0.31709986043465244
RandomForest,0.16285686638537272,0.18907226406024674,0.1386527939736345
XGBoost,0.18575274620054588,0.18907226406024674,0.017556873696943254
SNWA_K8,0.1843779075526462,0.18907226406024674,0.024828372003334764
