model,ece,ece_ci_low,ece_ci_high
SVM_RBF,0.18124893096041414,0.16949282621583583,0.19345311946047702
LogisticRegression,0.23914714485033625,0.2269400792064989,0.2527409682262882
RandomForest,0.05135583684950772,0.04533094233473981,0.0653035630567276
XGBoost,0.09402425539437718,0.08382639768837273,0.10700837884918359
SNWA_K8,0.18648417042052964,0.20654124693347367,0.2323011813161635
