threshold,precision,recall,f1
0.1,0.43118756936736957,0.7194444444444444,0.5392088827203331
0.125,0.43195934500282324,0.7083333333333334,0.5366538056822168
0.15000000000000002,0.4344590726960504,0.7027777777777777,0.5369649805447471
0.17500000000000002,0.43677494199535966,0.6972222222222222,0.5370898716119828
0.2,0.4381625441696113,0.6888888888888889,0.5356371490280778
0.225,0.43918514080287596,0.6787037037037037,0.5332848308475809
0.25,0.4432301153612629,0.6759259259259259,0.5353868720205354
0.275,0.4451256897608829,0.6722222222222223,0.5355957211361121
0.30000000000000004,0.44774273345701915,0.6703703703703704,0.5368928439006303
0.325,0.4499374217772215,0.6657407407407407,0.5369678864824496
0.35,0.4517766497461929,0.6592592592592592,0.536144578313253
0.375,0.45384615384615384,0.6555555555555556,0.5363636363636364
0.4,0.45531088082901555,0.6509259259259259,0.5358231707317073
0.42500000000000004,0.45609436435124506,0.6444444444444445,0.5341519570222564
0.45000000000000007,0.4560475875743556,0.6388888888888888,0.5322020825298882
0.475,0.4594775619557937,0.6351851851851852,0.53322969296541
0.5,0.46049966239027684,0.6314814814814815,0.5326044513861773
0.525,0.461118690313779,0.6259259259259259,0.5310290652003142
0.55,0.46190803019903914,0.6231481481481481,0.5305478912100906
0.5750000000000001,0.4646324549237171,0.6203703703703703,0.5313243457573354
0.6,0.4684431977559607,0.6185185185185185,0.533120510774142
0.625,0.4709631728045326,0.6157407407407407,0.5337078651685393
0.65,0.47387258410880456,0.6129629629629629,0.534517561566411
0.675,0.47619047619047616,0.6111111111111112,0.5352798053527981
0.7000000000000001,0.47778587035688275,0.6074074074074074,0.5348552792498981
0.725,0.4815361890694239,0.6037037037037037,0.5357436318816763
0.75,0.48389513108614235,0.5981481481481481,0.5349896480331263
0.775,0.48514851485148514,0.5898148148148148,0.5323861262014208
0.8,0.4845440494590417,0.5805555555555556,0.5282224094355518
0.8250000000000001,0.48746081504702193,0.575925925925926,0.5280135823429541
0.85,0.49121405750798725,0.5694444444444444,0.5274442538593482
0.875,0.49303849303849306,0.5574074074074075,0.5232507605388962
0.9,0.4987190435525192,0.5407407407407407,0.5188804975566415
