repeat,mean_auc
1,0.8286590740667802
2,0.8286693621326238
3,0.8286480511390906
4,0.828689938264311
5,0.828689938264311
6,0.8286590740667802
7,0.8286480511390906
8,0.8286693621326238
9,0.8286789153366214
10,0.8286583392049343
