threshold,precision,recall,f1
0.1,0.281413612565445,0.9953703703703703,0.4387755102040816
0.125,0.3026538678712592,0.9925925925925926,0.463868455214193
0.15000000000000002,0.32215787869551965,0.9787037037037037,0.48475120385232745
0.17500000000000002,0.34427860696517415,0.9611111111111111,0.5069597069597069
0.2,0.36514822848879247,0.9351851851851852,0.5252210088403536
0.225,0.3854125149461937,0.8953703703703704,0.5388687656728894
0.25,0.4046675473359753,0.850925925925926,0.5484929871680095
0.275,0.42045454545454547,0.787962962962963,0.5483247422680413
0.30000000000000004,0.4317032040472175,0.7111111111111111,0.5372507869884575
0.325,0.43316195372750643,0.6240740740740741,0.511380880121396
0.35,0.44599559147685525,0.562037037037037,0.49733715690290864
0.375,0.454855195911414,0.49444444444444446,0.4738243123336291
0.4,0.449746192893401,0.4101851851851852,0.4290556900726392
0.42500000000000004,0.4511742892459827,0.33796296296296297,0.3864478560084701
0.45000000000000007,0.45161290322580644,0.2722222222222222,0.3396880415944541
0.475,0.46564885496183206,0.22592592592592592,0.30423940149625933
0.5,0.46798029556650245,0.17592592592592593,0.2557200538358008
0.525,0.5084745762711864,0.1388888888888889,0.21818181818181817
0.55,0.5067264573991032,0.10462962962962963,0.17344589409056024
0.5750000000000001,0.5094339622641509,0.075,0.13075060532687652
0.6,0.5391304347826087,0.05740740740740741,0.10376569037656903
0.625,0.5875,0.04351851851851852,0.08103448275862069
0.65,0.6481481481481481,0.032407407407407406,0.06172839506172839
0.675,0.6363636363636364,0.019444444444444445,0.03773584905660377
0.7000000000000001,0.7391304347826086,0.01574074074074074,0.030825022665457842
0.725,0.75,0.008333333333333333,0.016483516483516484
0.75,0.6,0.002777777777777778,0.005529953917050691
0.775,0.75,0.002777777777777778,0.005535055350553505
0.8,0.75,0.002777777777777778,0.005535055350553505
0.8250000000000001,1.0,0.000925925925925926,0.0018501387604070306
0.85,0.0,0.0,0.0
0.875,0.0,0.0,0.0
0.9,0.0,0.0,0.0
