model,n_subjects,mean_auc,auc_ci_low,auc_ci_high,t_statistic,p_value
DS007262_external_logistic_full_overlap_features,18,0.5561111111111112,0.49272159213809985,0.6195006300841226,1.8675657779034653,0.07916177096529346
DS007262_external_SNWA_K3,18,0.5927777777777777,0.518100615074359,0.6674549404811965,2.6212029721819055,0.017877774834700048
DS007262_external_SNWA_K5,18,0.6177777777777779,0.5412581730330356,0.6942973825225202,3.247395110142934,0.00473838896308752
DS007262_external_SNWA_K8,18,0.6133333333333333,0.5449994192047094,0.6816672474619572,3.4991765831584716,0.0027489484650289157
DS007262_external_SNWA_K12,18,0.6172222222222222,0.5424866436044067,0.6919578008400378,3.3092306915481275,0.004146627084417232
DS007262_external_SNWA_K20,18,0.5905555555555556,0.5176592841464476,0.6634518269646636,2.6209231017896757,0.01788814742453534
