threshold,precision,recall,f1
0.1,0.393217601937828,0.9018518518518519,0.5476525161653079
0.125,0.4127753303964758,0.8675925925925926,0.5594029850746268
0.15000000000000002,0.4245149077141505,0.8305555555555556,0.5618540557469465
0.17500000000000002,0.4290045477513896,0.7861111111111111,0.5550833605753515
0.2,0.43856837606837606,0.7601851851851852,0.5562330623306233
0.225,0.44269662921348313,0.7296296296296296,0.551048951048951
0.25,0.44786729857819907,0.7,0.546242774566474
0.275,0.4515322076297686,0.6685185185185185,0.5390070921985816
0.30000000000000004,0.458005249343832,0.6462962962962963,0.5360983102918587
0.325,0.45962732919254656,0.6166666666666667,0.5266903914590747
0.35,0.4581818181818182,0.5833333333333334,0.5132382892057027
0.375,0.45896656534954405,0.5592592592592592,0.5041736227045075
0.4,0.4613564668769716,0.5416666666666666,0.49829642248722317
0.42500000000000004,0.46475409836065573,0.525,0.4930434782608696
0.45000000000000007,0.46770025839793283,0.5027777777777778,0.48460508701472554
0.475,0.46367713004484307,0.4787037037037037,0.4710706150341686
0.5,0.45958646616541354,0.4527777777777778,0.45615671641791045
0.525,0.4579624134520277,0.4287037037037037,0.44285031085604976
0.55,0.4604012671594509,0.40370370370370373,0.43019240256536756
0.5750000000000001,0.45695364238410596,0.38333333333333336,0.4169184290030212
0.6,0.4548611111111111,0.3638888888888889,0.404320987654321
0.625,0.45454545454545453,0.3472222222222222,0.3937007874015748
0.65,0.4532650448143406,0.3277777777777778,0.38044062332079526
0.675,0.453804347826087,0.30925925925925923,0.36784140969163
0.7000000000000001,0.45021645021645024,0.28888888888888886,0.35194585448392557
0.725,0.45788667687595713,0.27685185185185185,0.345066358915176
0.75,0.44073455759599334,0.24444444444444444,0.31447290053603333
0.775,0.4419889502762431,0.2222222222222222,0.2957486136783734
0.8,0.4309623430962343,0.19074074074074074,0.2644415917843389
0.8250000000000001,0.4158878504672897,0.1648148148148148,0.23607427055702918
0.85,0.3923705722070845,0.13333333333333333,0.1990324809951624
0.875,0.3782051282051282,0.10925925925925926,0.16954022988505746
0.9,0.3551020408163265,0.08055555555555556,0.13132075471698113
