model,roc_auc,roc_auc_ci_low,roc_auc_ci_high,f1,f1_ci_low,f1_ci_high,n_subjects
SVM_RBF,0.795994774592546,0.754748578463236,0.8378755172506601,0.5199831720656289,0.470366472509046,0.5677344232343622,36
LogisticRegression,0.7625603043407501,0.717101840528488,0.8154547815295048,0.5326044513861773,0.48227804334091967,0.5870766993357637,36
SNWA_K8,0.7606185045685988,0.7030712506389627,0.8196742935032562,0.5667855727308759,0.5165339660679095,0.6152156508589766,36
