threshold,precision,recall,f1
0.1,0.3685944363103953,0.9324074074074075,0.5283315844700944
0.125,0.38331365604092876,0.9018518518518519,0.5379729356531345
0.15000000000000002,0.39730639730639733,0.8740740740740741,0.5462962962962963
0.17500000000000002,0.4084632516703786,0.8490740740740741,0.5515789473684211
0.2,0.4181989627534182,0.8212962962962963,0.5542018119337707
0.225,0.42985521717423864,0.7972222222222223,0.5585468699318845
0.25,0.43217665615141954,0.7611111111111111,0.5513078470824949
0.275,0.43924191750278707,0.7296296296296296,0.5483646485734168
0.30000000000000004,0.44522144522144524,0.7074074074074074,0.5464949928469242
0.325,0.4472882388787325,0.6796296296296296,0.5395075339948548
0.35,0.45466237942122184,0.6546296296296297,0.5366223908918406
0.375,0.45276653171390013,0.6212962962962963,0.5238095238095238
0.4,0.45693950177935944,0.5944444444444444,0.5167002012072435
0.42500000000000004,0.45549738219895286,0.5638888888888889,0.5039304923458833
0.45000000000000007,0.4546172059984215,0.5333333333333333,0.4908393694077546
0.475,0.454242928452579,0.5055555555555555,0.4785276073619632
0.5,0.4562937062937063,0.48333333333333334,0.4694244604316547
0.525,0.45722171113155474,0.4601851851851852,0.45869866174434704
0.55,0.4494163424124514,0.42777777777777776,0.43833017077798864
0.5750000000000001,0.4419321685508736,0.39814814814814814,0.4188991719434973
0.6,0.4394765539803708,0.3731481481481482,0.4036054081121683
0.625,0.44018583042973286,0.3509259259259259,0.3905203503348789
0.65,0.440925700365408,0.3351851851851852,0.38085218306154656
0.675,0.44025974025974024,0.3138888888888889,0.36648648648648646
0.7000000000000001,0.4388185654008439,0.28888888888888886,0.34840871021775544
0.725,0.4411764705882353,0.2638888888888889,0.3302433371958285
0.75,0.4402730375426621,0.2388888888888889,0.3097238895558223
0.775,0.44242424242424244,0.20277777777777778,0.2780952380952381
0.8,0.4474327628361858,0.16944444444444445,0.2458025520483546
0.8250000000000001,0.4577259475218659,0.14537037037037037,0.2206605762473647
0.85,0.42424242424242425,0.1037037037037037,0.16666666666666666
0.875,0.44,0.08148148148148149,0.1375
0.9,0.43902439024390244,0.05,0.08977556109725686
