threshold,precision,recall,f1
0.1,0.4352517985611511,0.7842592592592592,0.5598149372108394
0.125,0.4415862808145766,0.762962962962963,0.5594025797691785
0.15000000000000002,0.44640883977900553,0.7481481481481481,0.5591695501730104
0.17500000000000002,0.45122646891043927,0.7324074074074074,0.5584186374867631
0.2,0.45540460720614295,0.7138888888888889,0.5560764514965741
0.225,0.4584092289010322,0.6990740740740741,0.5537220388705537
0.25,0.46101485148514854,0.6898148148148148,0.5526706231454006
0.275,0.46134347275031684,0.674074074074074,0.5477802859292701
0.30000000000000004,0.46618985695708715,0.6638888888888889,0.5477463712757831
0.325,0.46679946879150064,0.6509259259259259,0.5436968290796597
0.35,0.469429347826087,0.6398148148148148,0.5415360501567398
0.375,0.46879334257975036,0.6259259259259259,0.5360824742268041
0.4,0.4675141242937853,0.6129629629629629,0.530448717948718
0.42500000000000004,0.47186147186147187,0.6055555555555555,0.5304136253041363
0.45000000000000007,0.47236551215917466,0.5935185185185186,0.5260566270004103
0.475,0.4740796393688956,0.5842592592592593,0.5234342596433015
0.5,0.47473200612557426,0.5740740740740741,0.5196982397317687
0.525,0.4806017418844022,0.562037037037037,0.5181391378574477
0.55,0.4881632653061225,0.5537037037037037,0.5188720173535791
0.5750000000000001,0.4958263772954925,0.55,0.5215100965759438
0.6,0.5034246575342466,0.5444444444444444,0.5231316725978647
0.625,0.506140350877193,0.5342592592592592,0.5198198198198198
0.65,0.5090415913200723,0.5212962962962963,0.515096065873742
0.675,0.515828677839851,0.512962962962963,0.5143918291550603
0.7000000000000001,0.5192307692307693,0.5,0.5094339622641509
0.725,0.5212240868706811,0.4888888888888889,0.504538939321548
0.75,0.526046986721144,0.47685185185185186,0.5002428363283147
0.775,0.5294736842105263,0.46574074074074073,0.49556650246305417
0.8,0.5296703296703297,0.4462962962962963,0.4844221105527638
0.8250000000000001,0.532871972318339,0.42777777777777776,0.4745762711864407
0.85,0.5395061728395062,0.4046296296296296,0.4624338624338624
0.875,0.556282722513089,0.39351851851851855,0.4609544468546638
0.9,0.5685714285714286,0.3685185185185185,0.44719101123595506
