calibration,model,n_subjects,pooled_window_auc,macro_subject_mean_auc,macro_subject_median_auc,subject_auc_sd,subject_auc_ci95_low,subject_auc_ci95_high
absolute,logistic_l2,48,0.8003516510770976,0.8157950680272109,0.8698979591836735,0.19761587637327072,0.7585884353741498,0.8673495960884353
mean_subtraction,logistic_l2,48,0.804063031462585,0.839498299319728,0.9056122448979591,0.17802303466348268,0.7884778911564626,0.8879703443877551
zscore,logistic_l2,48,0.8907135770975058,0.898703231292517,0.9285714285714286,0.12798661869439226,0.8573554421768707,0.9319727891156463
