calibration,direction,model,n_target_subjects,pooled_window_auc,macro_subject_mean_auc,macro_subject_median_auc,subject_auc_sd,subject_auc_ci95_low,subject_auc_ci95_high
absolute,MAT128_to_STEW,logistic_l2,48,0.47550843253968256,0.47204506802721086,0.5280612244897959,0.2751762775557604,0.396359481292517,0.5478369472789115
mean_subtraction,MAT128_to_STEW,logistic_l2,48,0.43205693735827666,0.44759778911564624,0.44642857142857145,0.2732691772011768,0.37457482993197283,0.5253082482993197
zscore,MAT128_to_STEW,logistic_l2,48,0.6922145160147393,0.6828231292517007,0.7270408163265306,0.23206520613314588,0.6141501913265306,0.7474622661564625
