comparison,n_subjects,mean_delta,median_delta,ci95_low,ci95_high,bootstraps
mean_subtraction_minus_absolute,48,0.023703231292517005,0.010204081632653128,-0.013180272108843536,0.06071694302721076,2000
mean_subtraction_minus_zscore,48,-0.05920493197278912,-0.020408163265306145,-0.10469812925170068,-0.017001488095238146,2000
