permutation_index,macro_subject_auc
0,0.5038265306122449
1,0.5316751700680272
2,0.5302933673469389
3,0.48161139455782315
4,0.47236394557823136
5,0.5146683673469387
6,0.5147746598639455
7,0.4829931972789116
8,0.5241284013605442
9,0.4991496598639456
10,0.5238095238095238
11,0.4890518707482993
12,0.49936224489795916
13,0.4961734693877551
14,0.5006377551020408
15,0.5003188775510203
16,0.441857993197279
17,0.48033588435374147
18,0.5562287414965986
19,0.47534013605442177
20,0.5417729591836734
21,0.5062712585034014
22,0.5160501700680272
23,0.5247661564625851
24,0.5173256802721089
25,0.49096513605442177
26,0.45642006802721086
27,0.4874574829931972
28,0.5031887755102041
29,0.5088222789115647
30,0.5133928571428571
31,0.4900085034013606
32,0.48341836734693877
33,0.5034013605442177
34,0.5206207482993198
35,0.515093537414966
36,0.5204081632653061
37,0.531781462585034
38,0.5325255102040817
39,0.5125425170068028
40,0.5203018707482993
41,0.5167942176870749
42,0.5087159863945578
43,0.48267431972789115
44,0.4974489795918367
45,0.5056335034013606
46,0.5062712585034014
47,0.46598639455782315
48,0.5193452380952381
49,0.4858630952380953
50,0.5025510204081632
51,0.5250850340136054
52,0.5028698979591837
53,0.5017006802721088
54,0.49266581632653067
55,0.5035076530612245
56,0.5299744897959183
57,0.5
58,0.5493197278911565
59,0.5020195578231292
60,0.482249149659864
61,0.5011692176870749
62,0.5380527210884353
63,0.5391156462585034
64,0.49776785714285715
65,0.49542942176870747
66,0.46375425170068024
67,0.5017006802721089
68,0.44696003401360535
69,0.5068027210884354
70,0.50265731292517
71,0.47427721088435376
72,0.46003401360544216
73,0.4921343537414966
74,0.49776785714285715
75,0.4900085034013606
76,0.5357142857142857
77,0.539859693877551
78,0.5105229591836735
79,0.47895408163265313
80,0.5006377551020408
81,0.5294430272108843
82,0.4769345238095238
83,0.5273171768707483
84,0.5215773809523809
85,0.47842261904761907
86,0.4758715986394558
87,0.5053146258503401
88,0.48246173469387754
89,0.5137117346938775
90,0.5189200680272109
91,0.4878826530612245
92,0.5278486394557823
93,0.4808673469387754
94,0.53390731292517
95,0.5125425170068026
96,0.490858843537415
97,0.4842687074829932
98,0.515093537414966
99,0.4828869047619048
100,0.5333758503401361
101,0.49447278911564624
102,0.4985119047619047
103,0.507015306122449
104,0.5044642857142857
105,0.4962797619047619
106,0.4803358843537415
107,0.5097789115646258
108,0.5154124149659864
109,0.457482993197279
110,0.5006377551020408
111,0.48278061224489793
112,0.5147746598639457
113,0.46513605442176864
114,0.5022321428571429
115,0.5102040816326531
116,0.4992559523809524
117,0.5014880952380952
118,0.5062712585034014
119,0.4743835034013606
120,0.5396471088435374
121,0.4855442176870748
122,0.514562074829932
123,0.5366709183673469
124,0.4997874149659864
125,0.488732993197279
126,0.5211522108843537
127,0.5257227891156463
128,0.49957482993197283
129,0.5175382653061225
130,0.46460459183673475
131,0.4959608843537415
132,0.4841624149659864
133,0.5015943877551021
134,0.4985119047619047
135,0.547406462585034
136,0.4807610544217687
137,0.5044642857142857
138,0.49734268707482987
139,0.4973426870748299
140,0.4939413265306123
141,0.5229591836734694
142,0.5113732993197279
143,0.49383503401360535
144,0.4986181972789116
145,0.5028698979591837
146,0.5274234693877551
147,0.5535714285714286
148,0.4959608843537415
149,0.4987244897959184
150,0.47289540816326525
151,0.49372874149659857
152,0.501062925170068
153,0.47991071428571425
154,0.4694940476190476
155,0.5294430272108843
156,0.4690688775510204
157,0.5375212585034014
158,0.48394982993197283
159,0.5127551020408163
160,0.5153061224489796
161,0.5013818027210885
162,0.48267431972789115
163,0.5176445578231292
164,0.49670493197278914
165,0.514030612244898
166,0.5047831632653061
167,0.49053996598639454
168,0.5073341836734694
169,0.4886267006802721
170,0.4963860544217687
171,0.4718324829931973
172,0.486500850340136
173,0.5078656462585034
174,0.5044642857142857
175,0.4605654761904761
176,0.5160501700680272
177,0.47534013605442177
178,0.5145620748299319
179,0.4588647959183674
180,0.4821428571428572
181,0.4544005102040816
182,0.531781462585034
183,0.5330569727891157
184,0.5056335034013605
185,0.49946853741496594
186,0.4925595238095238
187,0.51828231292517
188,0.5210459183673469
189,0.5149872448979592
190,0.5136054421768708
191,0.5184948979591836
192,0.5149872448979592
193,0.5103103741496599
194,0.48107993197278914
195,0.514562074829932
196,0.49022108843537415
197,0.4914965986394558
198,0.5208333333333334
199,0.4740646258503401
