comparison,n_subjects,mean_delta,median_delta,ci95_low,ci95_high,bootstraps
mean_subtraction_minus_absolute,48,-0.02444727891156463,-0.015306122448979609,-0.07005739795918367,0.02264562074829929,2000
mean_subtraction_minus_zscore,48,-0.23522534013605445,-0.17857142857142855,-0.3354618409863946,-0.14061437074829938,2000
