spec,d,p,n
Theta/alpha ratio (F3),0.4858229015399105,0.006166450508744284,36
Theta/alpha ratio (F4),0.5896389117966633,0.001160326697434382,36
Theta/beta ratio (F3),0.43707638987160524,0.012839172957397397,36
Theta/beta ratio (F4),0.4180657129430693,0.016913416035951923,36
Absolute alpha (F3),-0.8341459656264524,1.5808288214289286e-05,36
Absolute alpha (F4),-0.8194941826355822,2.0611199140870802e-05,36
